NO.	compound_name	IUPAC_name	SMILES	CID	logBB	Inchi	reference	smiles_result	group	comments
284	atorvastatin	(3r,5r)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	60823.0|60823.0|60823.0|	-1.36	InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1	R18|R26|R27|	CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	B	
285	benzoylecgonine		CN1[C@H]2CC[C@H]1[C@@H](CC(=O)O)[C@@H](OC(=O)c1ccccc1)C2	nan|nan|nan|	-1.35	InChI=1S/C17H21NO4/c1-18-12-7-8-14(18)13(10-16(19)20)15(9-12)22-17(21)11-5-3-2-4-6-11/h2-6,12-15H,7-10H2,1H3,(H,19,20)/t12-,13+,14-,15-/m0/s1	R18|R26|R27|	CN1[C@H]2CC[C@H]1[C@@H](CC(O)=O)[C@@H](OC(C3=CC=CC=C3)=O)C2	B	
286	monohydroxy l-663,581 metabolite	7-chloro-3-[5-(2-hydroxypropan-2-yl)-1,2,4-oxadiazol-3-yl]-5-methyl-4h-imidazo[1,5-a][1,4]benzodiazepin-6-one	CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O	10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|10384745.0|	-1.34	InChI=1S/C17H16ClN5O3/c1-17(2,25)16-20-14(21-26-16)13-11-7-22(3)15(24)12-9(18)5-4-6-10(12)23(11)8-19-13/h4-6,8,25H,7H2,1-3H3	R2|R2|R3|R4|R8|R12|R21|R25|R27|R35|R36|R38|R40|R41|R43|R46|R47|R48|R49|R49|	CC(C)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O	B	
287	sk&f 93319	2-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethylamino]-5-(naphthalen-2-ylmethyl)-1h-pyrimidin-6-one	CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1	14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|14022522.0|	-1.3	InChI=1S/C25H28N4O2S/c1-29(2)16-22-9-10-23(31-22)17-32-12-11-26-25-27-15-21(24(30)28-25)14-18-7-8-19-5-3-4-6-20(19)13-18/h3-10,13,15H,11-12,14,16-17H2,1-2H3,(H2,26,27,28,30)	R40|R2|R2|R2|R2|R8|R12|R18|R25|R26|R27|R35|R36|R43|R46|R47|R48|R49|R49|R4|	C[NH+](C)CC1=CC=C(CSCCNC2=NC(=O)C(=CN2)CC3=CC=C4C=CC=CC4=C3)O1	B	
288	sb-271406	5-chloro-n-(4-methoxy-3-piperazin-1-ylphenyl)-3-methyl-1-benzothiophene-2-sulfonamide	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1	5312149.0|5312149.0|5312149.0|	-1.3	InChI=1S/C20H22ClN3O3S2/c1-13-16-11-14(21)3-6-19(16)28-20(13)29(25,26)23-15-4-5-18(27-2)17(12-15)24-9-7-22-8-10-24/h3-6,11-12,22-23H,7-10H2,1-2H3	R18|R26|R27|	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4	B	
289	indomethacin	2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|3715.0|	-1.3	InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)	R5|R2|R2|R3|R3|R8|R11|R12|R17|R18|R21|R25|R26|R27|R27|R35|R36|R38|R41|R43|R46|R47|R49|R49|R50|R40|	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	B	
290	skf 93319		COc1cccnc1CCCCNc1ncc(Cc2cccc(C)n2)c(=O)[nH]1	nan|nan|	-1.3	InChI=1S/C21H25N5O2/c1-15-7-5-8-17(25-15)13-16-14-24-21(26-20(16)27)23-11-4-3-9-18-19(28-2)10-6-12-22-18/h5-8,10,12,14H,3-4,9,11,13H2,1-2H3,(H2,23,24,26,27)	R36|R47|	COC1=CC=CN=C1CCCCNC(N2)=NC=C(CC3=CC=CC(C)=N3)C2=O	B	
291	4794-83-6	n-(2,4-dimethylphenyl)-4,5-dihydro-1h-imidazol-2-amine	Cc1ccc(NC2=NCCN2)c(C)c1	12296938.0|12296938.0|12296938.0|12296938.0|12296938.0|12296938.0|12296938.0|12296938.0|12296938.0|	-1.3	InChI=1S/C11H15N3/c1-8-3-4-10(9(2)7-8)14-11-12-5-6-13-11/h3-4,7H,5-6H2,1-2H3,(H2,12,13,14)	R2|R2|R2|R2|R25|R46|R47|R4|R40|	CC1=CC(=C(C=C1)NC2=NCCN2)C	B	
292	schembl1704876	n-(2,6-dichlorophenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide	Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	16655839.0|16655839.0|16655839.0|	-1.3	InChI=1S/C21H23Cl2N7O2S/c1-13-25-17(11-18(26-13)30-7-5-29(6-8-30)9-10-31)27-21-24-12-16(33-21)20(32)28-19-14(22)3-2-4-15(19)23/h2-4,11-12,31H,5-10H2,1H3,(H,28,32)(H,24,25,26,27)	R18|R26|R27|	CC1=NC(=CC(=N1)N2CCN(CC2)CCO)NC3=NC=C(S3)C(=O)NC4=C(C=CC=C4Cl)Cl	B	
293	diclazuril	2-(4-chlorophenyl)-2-[2,6-dichloro-4-(3,5-dioxo-1,2,4-triazin-2-yl)phenyl]acetonitrile	N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl	456389.0|456389.0|456389.0|456389.0|	-1.3	InChI=1S/C17H9Cl3N4O2/c18-10-3-1-9(2-4-10)12(7-21)16-13(19)5-11(6-14(16)20)24-17(26)23-15(25)8-22-24/h1-6,8,12H,(H,23,25,26)	R2|R2|R25|R46|	C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl	B	
294	compound-9	3-[[1-(aminomethyl)cyclohexyl]methyl]-4h-1,2,4-oxadiazol-5-one	NCC1(Cc2noc(=O)[nH]2)CCCCC1	135529433.0|135529433.0|135529433.0|	-1.3	InChI=1S/C10H17N3O2/c11-7-10(4-2-1-3-5-10)6-8-12-9(14)15-13-8/h1-7,11H2,(H,12,13,14)	R18|R26|R27|	C1CCC(CC1)(CC2=NOC(=O)N2)CN	B	
295	diclofenac	2-[2-(2,6-dichloroanilino)phenyl]acetic acid	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	3033.0|3033.0|3033.0|	-1.3	InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)	R18|R26|R27|	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	B	
296	didanosine	9-[(2r,5s)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one	O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1	135398739.0|135398739.0|135398739.0|135398739.0|135398739.0|135398739.0|135398739.0|	-1.3	InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1	R5|R11|R11|R17|R18|R26|R27|	C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O	B	
297	schembl13579049	2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid	COc1ccc2c(c1)C(CC(=O)O)C(C)N2C(=O)c1ccc(Cl)cc1	53394319.0|53394319.0|53394319.0|	-1.26	InChI=1S/C19H18ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9,11,15H,10H2,1-2H3,(H,22,23)	R2|R2|R8|	CC1C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	B	
298	zinc27644005	2-[(2s,3r)-1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid	COc1ccc2c(c1)[C@@H](CC(=O)O)[C@H](C)N2C(=O)c1ccc(Cl)cc1	35025677.0|35025677.0|	-1.26	InChI=1S/C19H18ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9,11,15H,10H2,1-2H3,(H,22,23)/t11-,15-/m0/s1	R47|R48|	C[C@H]1[C@@H](C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O	B	
299	p-phenylbenzoic acid	4-phenylbenzoic acid	O=C(O)c1ccc(-c2ccccc2)cc1	66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|66724.0|	-1.26	InChI=1S/C13H10O2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,(H,14,15)	R2|R2|R8|R21|R25|R27|R41|R43|R46|R47|R40|R3|R38|	C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	B	
300	ls-190695	(e)-1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|3001055.0|	-1.23	InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3/b13-9+	R2|R2|R11|R25|R39|R43|R46|R47|R49|R49|R50|R4|R40|	CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C	B	
301	ranitidine		CN/C(=N\C[N+](=O)[O-])NCCSCc1coc(CN(C)C)c1	nan|nan|nan|	-1.23	InChI=1S/C13H23N5O3S/c1-14-13(16-10-18(19)20)15-4-5-22-9-11-6-12(21-8-11)7-17(2)3/h6,8H,4-5,7,9-10H2,1-3H3,(H2,14,15,16)	R18|R26|R27|	CN(C)CC1=CC(CSCCN/C(NC)=N/C[N+]([O-])=O)=CO1	B	
302	chembl1907165	n-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-n'-methyl-2-nitroethanimidamide	CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	9883333.0|9883333.0|	-1.23	InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5H,6-10H2,1-3H3,(H,14,15)	R2|R2|	CN=C(C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C	B	
303	ranitidine base	1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine	CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	5039.0|5039.0|5039.0|5039.0|5039.0|5039.0|	-1.23	InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3	R8|R12|R21|R27|R36|R49|	CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C	B	
304			CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1	nan|nan|	-1.23	InChI=1S/C12H20N4O3S/c1-13-11(9-16(17)18)14-6-7-20-12-5-4-10(19-12)8-15(2)3/h4-5H,6-9H2,1-3H3,(H,13,14)	R2|R2|	[O-][N+](=O)CC(NC)=NCCSc(o1)ccc1CN(C)C	B	
305	digoxin	3-[(3s,5r,8r,9s,10s,12r,13s,14s)-3-[(2r,4s,5s,6r)-5-[(2s,4s,5s,6r)-5-[(2s,4s,5s,6r)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)C(C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O	30322.0|30322.0|	-1.23	InChI=1S/C41H64O14/c1-19-36(47)28(42)15-34(50-19)54-38-21(3)52-35(17-30(38)44)55-37-20(2)51-33(16-29(37)43)53-24-8-10-39(4)23(13-24)6-7-26-27(39)14-31(45)40(5)25(9-11-41(26,40)48)22-12-32(46)49-18-22/h12,19-21,23-31,33-38,42-45,47-48H,6-11,13-18H2,1-5H3/t19-,20-,21-,23-,24+,25?,26-,27+,28+,29+,30+,31-,33+,34+,35+,36-,37-,38-,39+,40+,41+/m1/s1	R8|R21|	C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O	B	
306	compound 5		CO[C@H]1CN(CC2Cc3ccc(NC(=O)C(C)C)cc3C2)CCC1n1c(C)nc2cc(C)ccc21	nan|nan|nan|	-1.22	InChI=1S/C29H38N4O2/c1-18(2)29(34)31-24-8-7-22-13-21(14-23(22)15-24)16-32-11-10-27(28(17-32)35-5)33-20(4)30-25-12-19(3)6-9-26(25)33/h6-9,12,15,18,21,27-28H,10-11,13-14,16-17H2,1-5H3,(H,31,34)/t21?,27?,28-/m0/s1	R18|R26|R27|	O=C(C(C)C)NC1=CC=C(CC(CN2C[C@H](OC)C(N3C(C=CC(C)=C4)=C4N=C3C)CC2)C5)C5=C1	B	
307	ftc; emtricitabine	4-amino-5-fluoro-1-[(2r,5s)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one	Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F	60877.0|60877.0|60877.0|	-1.22	InChI=1S/C8H10FN3O3S/c9-4-1-12(8(14)11-7(4)10)5-3-16-6(2-13)15-5/h1,5-6,13H,2-3H2,(H2,10,11,14)/t5-,6+/m0/s1	R18|R26|R27|	C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F	B	
308	bufotenine	3-[2-(dimethylamino)ethyl]-1h-indol-5-ol	CN(C)CCc1c[nH]c2ccc(O)cc12	10257.0|10257.0|10257.0|	-1.19	InChI=1S/C12H16N2O/c1-14(2)6-5-9-8-13-12-4-3-10(15)7-11(9)12/h3-4,7-8,13,15H,5-6H2,1-2H3	R18|R26|R27|	CN(C)CCC1=CNC2=C1C=C(C=C2)O	B	
309	y-g12 (bbcpd10)	4-(3-amino-1h-1,2,4-triazol-5-yl)-n,n-dimethylpyridin-2-amine	CN(C)c1cc(-c2n[nH]c(N)n2)ccn1	12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|12889418.0|	-1.17	InChI=1S/C9H12N6/c1-15(2)7-5-6(3-4-11-7)8-12-9(10)14-13-8/h3-5H,1-2H3,(H3,10,12,13,14)	R40|R2|R2|R3|R4|R8|R12|R18|R20|R21|R25|R26|R27|R27|R35|R36|R38|R41|R43|R46|R47|R48|R49|R49|	CN(C)C1=[NH+]C=CC(=C1)C2=N[NH]C(=N2)N	B	
310	72801-60-6	2-[4-(3-aminophenyl)-1,3-thiazol-2-yl]guanidine	NC(N)=Nc1nc(-c2cccc(N)c2)cs1	14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|14022509.0|	-1.15	InChI=1S/C10H11N5S/c11-7-3-1-2-6(4-7)8-5-16-10(14-8)15-9(12)13/h1-5H,11H2,(H4,12,13,14,15)	R18|R26|R27|R4|R2|R2|R3|R3|R8|R12|R21|R25|R27|R35|R36|R38|R40|R41|R43|R46|R47|R48|R49|R49|	C1=CC(=CC(=C1)N)C2=CSC(=N2)N=C(N)N	B	
311	chembl1950329	n-[1-(cyclohexylmethyl)-2-[(5-ethoxypyridin-2-yl)methyl]benzimidazol-5-yl]-n-methylthiophene-2-sulfonamide	CCOc1ccc(Cc2nc3cc(N(C)S(=O)(=O)c4cccs4)ccc3n2CC2CCCCC2)nc1	57390958.0|57390958.0|57390958.0|57390958.0|57390958.0|	-1.15	InChI=1S/C27H32N4O3S2/c1-3-34-23-13-11-21(28-18-23)16-26-29-24-17-22(30(2)36(32,33)27-10-7-15-35-27)12-14-25(24)31(26)19-20-8-5-4-6-9-20/h7,10-15,17-18,20H,3-6,8-9,16,19H2,1-2H3	R2|R2|R25|R27|R46|	CCOC1=CN=C(C=C1)CC2=NC3=C(N2CC4CCCCC4)C=CC(=C3)N(C)S(=O)(=O)C5=CC=CS5	B	
312	az599	[5-ethylsulfonyl-2-(oxan-4-yl)-3,4-dihydro-1h-pyrido[4,3-b]indol-8-yl]-(4-methylpiperidin-1-yl)methanone	CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2	24894028.0|24894028.0|24894028.0|24894028.0|24894028.0|	-1.15	InChI=1S/C25H35N3O4S/c1-3-33(30,31)28-23-5-4-19(25(29)26-11-6-18(2)7-12-26)16-21(23)22-17-27(13-8-24(22)28)20-9-14-32-15-10-20/h4-5,16,18,20H,3,6-15,17H2,1-2H3	R2|R2|R25|R27|R46|	CCS(=O)(=O)N1C2=C(CN(CC2)C3CCOCC3)C4=C1C=CC(=C4)C(=O)N5CCC(CC5)C	B	
313	miltefosine	hexadecyl 2-(trimethylazaniumyl)ethyl phosphate	CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C	3600.0|3600.0|3600.0|3600.0|3600.0|	-1.14	InChI=1S/C21H46NO4P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-25-27(23,24)26-21-19-22(2,3)4/h5-21H2,1-4H3/p+1	R20|R2|R2|R25|R46|	CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C	B	
314	bbcpd17		CN(C)Cc1ccc(SCCNc2[nH]ccc2[N+](=O)[O-])o1	nan|nan|nan|nan|	-1.12	InChI=1S/C13H18N4O3S/c1-16(2)9-10-3-4-12(20-10)21-8-7-15-13-11(17(18)19)5-6-14-13/h3-6,14-15H,7-9H2,1-2H3	R3|R38|R41|R43|	CN(C)Cc1ccc(o1)SCCNc2c(N(=O)=O)cc[nH]2	B	
315	sulpiride	n-[(1-ethylpyrrolidin-2-yl)methyl]-2-methoxy-5-sulfamoylbenzamide	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC	5355.0|5355.0|5355.0|	-1.11	InChI=1S/C15H23N3O4S/c1-3-18-8-4-5-11(18)10-17-15(19)13-9-12(23(16,20)21)6-7-14(13)22-2/h6-7,9,11H,3-5,8,10H2,1-2H3,(H,17,19)(H2,16,20,21)	R18|R26|R27|	CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC	B	
316	bromocriptine	5-bromo-n-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide	CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|2443.0|	-1.1	InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)	R2|R2|R8|R12|R21|R25|R27|R27|R35|R47|R40|	CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O	B	
317	bromocriptine	(6ar,9r)-5-bromo-n-[(1s,2s,4r,7s)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	31101.0|31101.0|	-1.1	InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1	R39|R50|	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O	B	
318	ergotamine		CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2C3=CC=CC4NC=CC(=C34)CC21	nan|nan|nan|nan|	-1.1	InChI=1S/C34H39N5O5/c1-33(32(42)39-27(16-20-8-4-3-5-9-20)31(41)38-15-7-12-28(38)34(39,43)44-33)36-30(40)22-17-24-23-10-6-11-25-29(23)21(13-14-35-25)18-26(24)37(2)19-22/h3-6,8-11,13-14,22,24-28,35,43H,7,12,15-19H2,1-2H3,(H,36,40)	R2|R2|R25|R46|	c1ccccc1CC(C(=O)N(C2C34O)CCC2)N3C(=O)C(O4)(C)NC(=O)C(C5)CN(C)C(C6)C5C7=CC=CC8NC=CC6=C78	B	
319	lupitidine (y-g5; skf93479)	2-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one	Cc1ccc(Cc2cnc(NCCSCc3ccc(CN(C)C)o3)[nH]c2=O)cn1	4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|4375468.0|	-1.1	InChI=1S/C21H27N5O2S/c1-15-4-5-16(11-23-15)10-17-12-24-21(25-20(17)27)22-8-9-29-14-19-7-6-18(28-19)13-26(2)3/h4-7,11-12H,8-10,13-14H2,1-3H3,(H2,22,24,25,27)	R5|R2|R2|R3|R11|R12|R18|R25|R26|R27|R35|R36|R38|R39|R41|R43|R46|R47|R48|R49|R49|R4|R2|R2|R8|R40|	CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C	B	
320	cytisine	7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one	O=c1cccc2n1CC1CNCC2C1	22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|22407.0|	-1.09	InChI=1S/C11H14N2O/c14-11-3-1-2-10-9-4-8(5-12-6-9)7-13(10)11/h1-3,8-9,12H,4-7H2	R2|R2|R8|R21|R25|R27|R40|R43|R46|R47|R4|	C1C2CNCC1C3=CC=CC(=O)N3C2	B	
321	amiodarone	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone	CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1	2157.0|2157.0|2157.0|	-1.08	InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3	R18|R26|R27|	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I	B	
